"TaskName","TaskPriority","TaskQuestion","TaskShortDescription","TaskDetails"
"CA-RDA-F1-01Archive","Essential","Archive is identified by a persistent identifier","This indicator evaluates whether or not the archive is identified by a persistent identifier. A persistent identifier ensures that the metadata will remain findable over time and reduces the risk of broken links.","The persistence of an identifieris determined by the commitment of the organisation that assigns and manages the identifier, so the evaluation of this indicator needs to take into account the persistence policy of that organisation. Such a commitment could be expressed by a university or research institute, by a research infrastructure or by an organisation that issues formal identifiers, such as the International DOI Foundation. A possible way to evaluate this indicator is to verify that the identifier used for the metadata is listed ina registry service like the RDA-endorsed FAIRsharing."
"CA-RDA-F1-01Model","Essential","Model is identified by a persistent identifier","This indicator evaluates whether or not the model is identified by a persistent identifier. A persistent identifier ensures that the metadata will remain findable over time and reduces the risk of broken links.","The persistence of an identifieris determined by the commitment of the organisation that assigns and manages the identifier, so the evaluation of this indicator needs to take into account the persistence policy of that organisation. Such a commitment could be expressed by a university or research institute, by a research infrastructure or by an organisation that issues formal identifiers, such as the International DOI Foundation. A possible way to evaluate this indicator is to verify that the identifier used for the metadata is listed ina registry service like the RDA-endorsed FAIRsharing."
"CA-RDA-F1-01MA","Essential","Metadata of archive is identified by a persistent identifier","This indicator evaluates whether or not the archive metadata is identified by a persistent identifier. A persistent identifier ensures that the metadata will remain findable over time and reduces the risk of broken links.","The persistence of an identifieris determined by the commitment of the organisation that assigns and manages the identifier, so the evaluation of this indicator needs to take into account the persistence policy of that organisation. Such a commitment could be expressed by a university or research institute, by a research infrastructure or by an organisation that issues formal identifiers, such as the International DOI Foundation. A possible way to evaluate this indicator is to verify that the identifier used for the metadata is listed ina registry service like the RDA-endorsed FAIRsharing."
"CA-RDA-F1-01MM","Essential","Metadata of model is identified by a persistent identifier","This indicator evaluates whether or not the model metadata is identified by a persistent identifier. A persistent identifier ensures that the metadata will remain findable over time and reduces the risk of broken links.","The persistence of an identifieris determined by the commitment of the organisation that assigns and manages the identifier, so the evaluation of this indicator needs to take into account the persistence policy of that organisation. Such a commitment could be expressed by a university or research institute, by a research infrastructure or by an organisation that issues formal identifiers, such as the International DOI Foundation. A possible way to evaluate this indicator is to verify that the identifier used for the metadata is listed ina registry service like the RDA-endorsed FAIRsharing."
"CA-RDA-F1-02Archive","Essential","Archive is identified by a globally unique identifier","The indicator serves to evaluate whether the identifier of the archive is globally unique, i.e. that there are no two identical identifiers that identify different metadata records.","Global uniqueness of identifiers should be evaluated based on a description of how identifiers are assigned. Such a description should make it clear that the mechanism for assigning identifiers cannot possibly assign the same identifier to dif ferent resources, or assign an identifier that has already been assigned via some other mechanism/organisation. A possible way to evaluate this indicator is to verif y that the identif ier used f or the data is listed in a registry service like the RDA-endorsed FAIRsharing."
"CA-RDA-F1-02Model","Essential","Model is identified by a globally unique identifier","The indicator serves to evaluate whether the identifier of the model is globally unique, i.e. that there are no two identical identifiers that identify different metadata records.","Global uniqueness of identifiers should be evaluated based on a description of how identifiers are assigned. Such a description should make it clear that the mechanism for assigning identifiers cannot possibly assign the same identifier to dif ferent resources, or assign an identifier that has already been assigned via some other mechanism/organisation. A possible way to evaluate this indicator is to verif y that the identif ier used f or the data is listed in a registry service like the RDA-endorsed FAIRsharing."
"CA-RDA-F1-02MA","Useful","Metadata of archive is identified by a globally unique identifier","The indicator serves to evaluate whether the identifier of the archive metadata is globally unique, i.e. that there are no two identical identifiers that identify different metadata records.","Global uniqueness of identifiers should be evaluated based on a description of how identifiers are assigned. Such a description should make it clear that the mechanism for assigning identifiers cannot possibly assign the same identifier to dif ferent resources, or assign an identifier that has already been assigned via some other mechanism/organisation. A possible way to evaluate this indicator is to verif y that the identif ier used f or the data is listed in a registry service like the RDA-endorsed FAIRsharing."
"CA-RDA-F1-02MM","Important","Metadata of model is identified by a globally unique identifier","The indicator serves to evaluate whether the identifier of the model metadata is globally unique, i.e. that there are no two identical identifiers that identify different metadata records.","Global uniqueness of identifiers should be evaluated based on a description of how identifiers are assigned. Such a description should make it clear that the mechanism for assigning identifiers cannot possibly assign the same identifier to dif ferent resources, or assign an identifier that has already been assigned via some other mechanism/organisation. A possible way to evaluate this indicator is to verif y that the identif ier used f or the data is listed in a registry service like the RDA-endorsed FAIRsharing."
"CA-RDA-F2-01MA","Essential","Rich metadata of archive is provided to allow discovery","The indicator is about the presence of archive metadata, but also about howmuch metadata is provided and how well the provided metadata supports discovery.","This indicator can be evaluated by verifying that metadata is provided. The amount of metadata to be provided may also be part of the metadata policy of the repository where the data is published"
"CA-RDA-F2-01MM","Essential","Rich metadata of model is provided to allow discovery","The indicator is about the presence of model metadata, but also about howmuch metadata is provided and how well the provided metadata supports discovery.","This indicator can be evaluated by verifying that metadata is provided. The amount of metadata to be provided may also be part of the metadata policy of the repository where the data is published"
"CA-RDA-F3-01MA","Essential","Metadata of archive includes the identifier for the archive","The indicator deals with the inclusion of the ref erence(i.e. the identifier) of the digital object in the archive metadata so that the digital object can be accessed","This indicator can be evaluated by verifying that the identifier of the data is included in the metadata elementthat is specified f or that purpose in the metadata standardused, for example in an ""about"" or ""describes"" predicate, or a Link Relation16such as ""describes""/""describedBy""."
"CA-RDA-F3-01MM","Essential","Metadata of model includes the identifier for the model","The indicator deals with the inclusion of the ref erence(i.e. the identifier) of the digital object in the model metadata so that the digital object can be accessed","This indicator can be evaluated by verifying that the identifier of the data is included in the metadata elementthat is specified f or that purpose in the metadata standardused, for example in an ""about"" or ""describes"" predicate, or a Link Relation16such as ""describes""/""describedBy""."
"CA-RDA-F4-01MA","Essential","Metadata of archive is offered in such a way that it can be harvested and indexed","The indicator tests whether the archive metadata is offered in such a way that it can be indexed. In some cases, metadata could be provided together with the data to a local institutional repository or to a domain-specific or regional portal, or metadata could be included in a landing page where it can be harvested by a search engine. The indicator remains broad enough on purpose not to limit the way how and by whom the harvesting and indexing of the data might be done.","Thisindicator can be evaluated by verifying that the metadata is made available f or indexing. This is the case when the metadata is in f act harvested and indexed, for example in a general search engine or in a more restricted index, such as an institutional repository or a discipline-specific portal."
"CA-RDA-F4-01MM","Essential","Metadata of model is offered in such a way that it can be harvested and indexed","The indicator tests whether the model metadata is offered in such a way that it can be indexed. In some cases, metadata could be provided together with the data to a local institutional repository or to a domain-specific or regional portal, or metadata could be included in a landing page where it can be harvested by a search engine. The indicator remains broad enough on purpose not to limit the way how and by whom the harvesting and indexing of the data might be done.","Thisindicator can be evaluated by verifying that the metadata is made available f or indexing. This is the case when the metadata is in f act harvested and indexed, for example in a general search engine or in a more restricted index, such as an institutional repository or a discipline-specific portal."
"CA-RDA-A1-01MA","Important","Metadata of archive contains information to enable the user to get access to the archive","The indicator ref ers to the information that is necessary to allow the requester to gain access to the digital object. It is about (i) restrictions to access the data (i.e. access to the data may be open, restricted or closed), (ii) the actions to be taken by a person who is interested to access the data, in particular when the data has not been published on the Web or (iii) specifications that the resources are available through specified authentication/authorisationsystem including single sign-on providers such as eduGAIN17or through specialised solutions such as proposed for EPOS18.","The indicator can be evaluated by looking at the information that is provided in the metadata about (i) access conditionsaccording to the metadata standard used, (ii) inf ormation that describes the actions to be taken. This can be included in the metadata or in some other place, for example on a landing page of the digital object or (iii) the requirements to be satisfied in order to gain access to the data. This may be machine-understandable information in which case the evaluation could be automatedby processing the inf ormation. If it is human-readable information, the evaluator can follow the instructions and verify that this allows access to the data"
"CA-RDA-A1-01MM","Important","Metadata of model contains information to enable the user to get access to the model","The indicator ref ers to the information that is necessary to allow the requester to gain access to the digital object. It is about (i) restrictions to access the data (i.e. access to the data may be open, restricted or closed), (ii) the actions to be taken by a person who is interested to access the data, in particular when the data has not been published on the Web or (iii) specifications that the resources are available through specified authentication/authorisationsystem including single sign-on providers such as eduGAIN17or through specialised solutions such as proposed for EPOS18.","The indicator can be evaluated by looking at the information that is provided in the metadata about (i) access conditionsaccording to the metadata standard used, (ii) inf ormation that describes the actions to be taken. This can be included in the metadata or in some other place, for example on a landing page of the digital object or (iii) the requirements to be satisfied in order to gain access to the data. This may be machine-understandable information in which case the evaluation could be automatedby processing the inf ormation. If it is human-readable information, the evaluator can follow the instructions and verify that this allows access to the data"
"CA-RDA-A1-02Archive","Essential","Archive can be accessed manually (i.e. with human intervention)","The indicator refers to any human interactions that are needed if the requester wants to access the archive. The FAIR principle ref ers mostly to automated interactions where a machine is able to access the data, but there may also be data that requirehuman interactions. This may be important in cases where the data itself contains sensitive inf ormation. Human interaction might involve sending an e-mail to the data owner, or calling by telephone to receive instructions.",""
